File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
F:\ALIFE\2018-08-03\iOS\A-Life\A-lifeTests\A_lifeTests.m,1,50,31,19,0,48,9,15,15,0,11,1,71,125,214,42,40,100,10,6,0,9,5,1,0,Algorithmic Oriented,1,* Code structure may be too fragmented. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalDataSource.m,11,45,35,20,7,50,8,7,22,0,6,0,15,30,233,78,49,95,20,18,1,2,3,2,1,Algorithmic Oriented,1,* Code structure may be too fragmented. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalDate.m,24,42,37,21,20,32,14,10,18,0,5,0,2,5,170,95,50,276,32,47,1,0,1,1,4,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalGridView.m,54,43,36,21,19,37,14,6,17,0,6,0,13,37,156,82,43,243,26,128,1,16,17,1,24,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalLogic.m,34,42,37,21,14,32,15,10,24,0,5,0,2,8,98,92,55,288,28,80,1,1,2,3,12,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalMonthView.m,36,44,35,22,26,37,10,7,15,0,5,0,2,6,158,102,54,166,21,73,1,1,2,9,10,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalTileView.m,60,43,36,21,27,30,14,8,15,1,6,0,7,24,134,96,57,292,24,154,1,12,12,11,49,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalView.m,57,44,35,21,8,40,16,7,22,1,6,0,12,51,99,82,44,255,29,141,2,16,18,16,37,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\KalViewController.m,69,42,37,21,13,37,14,7,23,0,5,0,6,22,110,70,48,236,27,160,1,13,10,7,43,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\NSDateAdditions.m,17,43,36,20,4,42,13,13,23,0,5,0,2,9,134,70,54,190,29,33,1,0,1,1,10,Algorithmic Oriented,1,* Needs more comments. 
F:\ALIFE\2018-08-03\iOS\A-Life\Kal\UIViewAdditions.m,9,49,32,19,5,33,27,14,7,0,12,0,2,6,185,91,28,500,32,36,1,0,1,0,0,Algorithmic Oriented,1,* Needs more comments. 
